Action items log,,,,,,,,,
#,Raised,Project ,Action,Owner,Reference ,Target Date,Status,Remark,
1,03/03/2023,EnGRC,SPOC for each activity,Guru,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,08/03/2023,Closed,"QA -> Vamsi Naidu -> Mohanababu Chavala
Dev -> Mohan -> Deven
Project Management->Ruth ->Mohan -> Guru
Process ->Need to identify (for now Ruth and Guru)
BA -> Akansha -> Tejas
Implementation / Deployment -> Mohan -> Deven
Architecture / Infra -> Deven -> Ratan",
2,03/03/2023,EnGRC,Identify Resource for Document Checking,Guru,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,15/03/2023,On Going,Waiting for Dr.Kalyan's response,
3,03/03/2023,EnGRC,"Create development tab, documents tab, testing tab, cloud env setup tab, 3i internal implementation tab,Collaboration Tool, Power BI Dashboards",Ruth,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,06/03/2023,Closed,,
4,03/03/2023,EnGRC,Create EnIA Requirements  in two parts (1.Features 2.Report),Ruth,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,03/03/2023,Closed,Provided revised estimates to Guru,
5,03/03/2023,EnGRC,Schedule meeting for Collaboration tool,Ruth,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,03/03/2023,Closed,,
6,03/03/2023,EnGRC,Follow up with mail admin for password change for Gillian and Elmar,Ruth,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,16/03/2023,Closed,Gillain is able to change the password today,
7,03/03/2023,EnGRC,Guru will introduce Gillian and Elmar to Compliance team,Guru,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,15/03/2023,On Going,Call is scheduled on March 15th,
8,03/03/2023,EnGRC,"Harish suggested for Operations call with Guru, Gillian and Elmar, to discuss on customization and implementation.",Guru,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,13/03/2023,Closed,,
9,03/03/2023,EnGRC,Guru planning to add one front end plus two back end resources temporarily to meet 31.03.2023 deadline.,Guru,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,13/03/2023,On Going,"2 resources for BE are identified, will be working from 13 Mar 2023",
10,03/03/2023,EnGRC,Get a person from cloud team to add to weekly meetings,Guru,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,08/03/2023,On Going,"Invited John baby from Cloud team,from next friday he will join the calls.",
11,03/03/2023,EnGRC,"Get a lead for Client–3i implementation: Requirements gathering (users, structures); Focus EnRAM",Guru,EnGRC-Status Call-MOM-3 Mar 2023 v1.0,,On Going,Dr.Kalyan suggested QA Lead,
12,08/03/2023,EnGRC,Upload all pending UI backlog items to Jira and Program Plan>>Bugs List,Tejas,EnGRC-Weekly Call-MOM-8 Mar 2023 v1.0,09/03/2023,Closed,,
13,08/03/2023,EnGRC,Need to raise a bug with high priority for default values in Control Matrix Template,Tejas,EnGRC-Weekly Call-MOM-8 Mar 2023 v1.0,09/03/2023,Closed,,
14,08/03/2023,EnGRC,Share the updated Risk control matrix template with GH,Tejas,EnGRC-Weekly Call-MOM-8 Mar 2023 v1.0,09/03/2023,Closed,,
